# case, NLprebuck, ny, nx, nxt, max_ny_nx_aspect_ratio, DOF, dx_max_mm, Pcr, n, mu1_ratio, modes_n, mu_ratios, b_factor, b_iiii, num_distinct, lambda_b, converged, time_s, peak_mem_gb, solvers, error
0, False, 80, 91, 3, 2, 72800, 19.84606840071157, 4227.860800029419, 24, 1.0001590937247709, 24/24/25/25/23/23/26/26/22/22/27/27, 1.000000/1.000159/1.002125/1.002210/1.003153/1.003450/1.009520/1.009567/1.011550/1.012008/1.022130/1.022153, -0.07889021934828094, -0.0788902/-0.0790158/-0.151639/-0.151776/-0.050308, 12, 1.0, True, 114.35434675216675, 2.004144, pardiso, 
0, True, 80, 91, 3, 2, 72800, 19.84606840071157, 3983.990796014711, 26, 1.0001017615702197, 26/26/27/27/25/25/28/28/24/24/29/29, 1.000000/1.000102/1.000963/1.001016/1.003141/1.003333/1.006193/1.006216/1.010136/1.010547/1.015809/1.015818, -0.2430224379121829, -0.243022/-0.243154/-0.132645/-0.13266/-0.154901, 12, 1.581406593825002, True, 378.6280143260956, 2.404088, pardiso, 
0, False, 120, 121, 3, 2, 145200, 12.403792750444786, 4609.460503743303, 25, 1.0005749315211614, 25/24/26/23/27/25/25/24/26/23/27/25, 1.000000/1.000575/1.000685/1.002337/1.002711/1.003486/1.000000/1.000575/1.000685/1.002337/1.002711/1.003486, 0.2732551587204675, 0.273255/0.250196/0.29448/0.224806/0.316044, 6, 1.0, True, 401.56237149238586, 4.00798, pardiso, 
0, True, 120, 121, 3, 2, 145200, 12.403792750444786, 3896.902390990881, 30, 1.0000118396428679, 30/30/29/29/31/31/28/28/32/32/27/27, 1.000000/1.000012/1.000168/1.000193/1.003351/1.003357/1.003871/1.003921/1.010186/1.010188/1.011077/1.011184, -0.3335057806244361, -0.333506/-0.333535/-0.195664/-0.195671/-0.189864, 12, 1.5466263308237846, True, 616.2107815742493, 4.70842, pardiso, 
0, False, 160, 161, 3, 2, 257600, 8.269195166963117, 4549.527000068173, 26, 1.0001405700381896, 26/27/25/28/24/26/27/29/26/27/25/28, 1.000000/1.000141/1.000985/1.001467/1.003040/1.003870/1.003988/1.004042/1.000000/1.000141/1.000985/1.001467, 0.2760116424946976, 0.276012/0.295725/0.255813/0.315975/0.235261, 8, 1.0, True, 588.9986593723297, 7.232868, pardiso, 
0, True, 160, 161, 3, 2, 257600, 8.269195166963117, 3872.2235189218577, 30, 1.0000134904543323, 30/30/31/31/29/29/32/32/28/28/33/33, 1.000000/1.000013/1.000363/1.000369/1.002853/1.002880/1.003895/1.003898/1.008930/1.008986/1.010531/1.010532, -0.2352911660267272, -0.235291/-0.235293/-0.195705/-0.195702/-0.230587, 12, 1.5380500543898015, True, 1244.6019048690796, 8.346496, pardiso, 
0, False, 200, 191, 3, 2, 382000, 6.615356133570671, 4527.9770933170175, 27, 1.000420294206208, 27/26/28/25/29/27/26/27/26/28/25/29, 1.000000/1.000420/1.000705/1.001912/1.002593/1.003902/1.004346/1.000000/1.000420/1.000705/1.001912/1.002593, 0.29101209329491584, 0.291012/0.271427/0.311049/0.252682/0.32943, 7, 1.0, True, 882.4614012241364, 10.695888, pardiso, 
0, True, 200, 191, 3, 2, 382000, 6.615356133570671, 3864.79008337106, 31, 1.0000063676512627, 31/31/30/30/32/32/29/29/33/33/28/28, 1.000000/1.000006/1.000448/1.000462/1.002636/1.002639/1.004025/1.004053/1.008287/1.008288/1.010732/1.010790, -0.22027707394793333, -0.220277/-0.220254/-0.244029/-0.244035/-0.218617, 12, 1.5340654122940296, True, 3225.0896401405334, 12.406956, pardiso, 
1, False, 80, 67, 4, 2, 53600, 23.352860719629497, 13439.16544888722, 0, 1.0007157488018954, 0/1/1/2/2/0/3/3/4/4/5/5, 1.000000/1.000716/1.000718/1.002859/1.002863/1.004831/1.006421/1.006424/1.011385/1.011407/1.017733/1.017813, -303.2310933615022, -303.231/-222.363/-121.387/-102.698/-101.941, 12, 1.0, True, 82.20550966262817, 1.441404, pardiso, 
1, True, 80, 67, 4, 2, 53600, 23.352860719629497, 12958.28587947162, 22, 1.000000000000017, 22/22/23/23/21/21/24/24/25/25/20/20, 1.000000/1.000000/1.000309/1.000309/1.007436/1.007436/1.007591/1.007591/1.021183/1.021183/1.023472/1.023472, -0.27469745307116644, -0.274697/-0.266775/-0.262423/-0.265732/-0.319255, 12, 5.133872244378612, True, 285.51336216926575, 1.80856, pardiso, 
