# case, NLprebuck, ny, nx, nxt, max_ny_nx_aspect_ratio, DOF, dx_max_mm, Pcr, n, mu1_ratio, modes_n, mu_ratios, b_min_t, b_min_energy, crest_e, b_factor, b_iiii, b_iiii_crest, b_iiii_rms, crest_w, num_distinct, lambda_b, converged, time_s, peak_mem_gb, solvers, error
0, False, 80, 91, 3, 2, 72800, 19.84606840071157, 4227.860800029419, 24, 1.0001590937247709, 24/24/24/24/25/25/25/25/23/23/23/26, 1.000000/1.000000/1.000159/1.000159/1.002125/1.002125/1.002210/1.002210/1.003153/1.003153/1.003450/1.009520, -0.07223432921686852, -8.053721439652564, 10.559089718967735, -0.07889021934827012, -0.0788902/-0.0767298/-0.0790158/-0.0768116/-0.151639/-0.151639/-0.151776/-0.151776/-0.050308/-0.0503081, -0.0717499/-0.0717499/-0.0718294/-0.0718294/-0.138511/-0.138511/-0.138607/-0.138607/-0.047496/-0.047496, -1.57547/-1.57547/-1.59916/-1.59916/-3.27528/-3.27528/-3.29893/-3.29893/-0.960784/-0.960784, 1.04858/1.03412/1.04883/1.03410/1.04632/1.04632/1.04643/1.04643/1.02918/1.02918, 12, 1.0, True, 334.20847487449646, 2.2359, pardiso, 
0, True, 80, 91, 3, 2, 72800, 19.84606840071157, 3983.990796014711, 26, 1.0001017615702197, 26/26/26/26/27/27/27/27/25/25/25/28, 1.000000/1.000000/1.000102/1.000102/1.000963/1.000963/1.001016/1.001016/1.003141/1.003141/1.003333/1.006193, -0.12807640053497832, -19.296758530067436, 12.274607799017783, -0.24302243791214267, -0.243022/-0.243022/-0.243154/-0.243154/-0.136506/-0.136506/-0.136524/-0.136524/-0.154901/-0.154901, -0.237485/-0.237485/-0.237615/-0.237615/-0.133572/-0.133572/-0.133589/-0.133589/-0.151169/-0.151169, -5.0082/-5.0082/-5.02837/-5.02837/-3.04429/-3.04429/-3.05026/-3.05026/-2.91061/-2.91061, 1.01159/1.01159/1.01159/1.01159/1.01092/1.01092/1.01093/1.01093/1.01227/1.01227, 12, 1.581406593825002, True, 591.3576238155365, 2.593836, pardiso, 
0, False, 120, 121, 3, 2, 145200, 12.403792750444786, 4609.460503743303, 25, 1.0005749315211614, 25/25/24/24/26/26/23/23/27/27/25/25, 1.000000/1.000000/1.000575/1.000575/1.000685/1.000685/1.002337/1.002337/1.002711/1.002711/1.003486/1.000000, 0.1267114279552057, 0.2667342108395454, 1.450879912627259, 0.2732551587204867, 0.273255/0.273176/0.250196/0.251015/0.29448/0.294404/0.224806/0.224866/0.316044/0.316125, 0.270918/0.270918/0.248305/0.248305/0.293011/0.293011/0.224674/0.224674/0.314684/0.314684, 1.1175/1.1175/1.02762/1.02762/1.2087/1.2087/0.939334/0.939334/1.30104/1.30104, 1.00430/1.00416/1.00380/1.00544/1.00250/1.00237/1.00029/1.00043/1.00216/1.00229, 6, 1.0, True, 835.9629256725311, 4.406332, pardiso, 
0, True, 120, 121, 3, 2, 145200, 12.403792750444786, 3896.902390990881, 30, 1.0000118396428679, 30/30/30/30/29/29/29/29/31/31/31/28, 1.000000/1.000000/1.000012/1.000012/1.000168/1.000168/1.000193/1.000193/1.003351/1.003351/1.003357/1.003871, -0.14641370625767788, -22.531123449445236, 12.405108192988276, -0.3335057806244213, -0.333506/-0.333506/-0.333535/-0.333535/-0.195664/-0.195664/-0.195671/-0.195671/-0.189864/-0.189864, -0.19612/-0.19612/-0.196123/-0.196123/-0.194766/-0.194766/-0.194773/-0.194773/-0.188892/-0.188892, -5.61639/-5.61639/-5.61867/-5.61867/-5.27806/-5.27806/-5.28249/-5.28249/-10.8035/-10.8035, 1.30404/1.30404/1.30409/1.30409/1.00230/1.00230/1.00230/1.00230/1.00257/1.00257, 12, 1.5466263308237846, True, 1137.9232723712921, 5.067284, pardiso, 
0, False, 160, 161, 3, 2, 257600, 8.269195166963117, 4549.527000068173, 26, 1.0001405700381896, 26/26/27/27/25/25/28/28/24/24/26/27, 1.000000/1.000000/1.000141/1.000141/1.000985/1.000985/1.001467/1.001467/1.003040/1.003040/1.003870/1.003988, 0.12404179754278283, 0.28890003919693563, 1.526123833559918, 0.2760116424946717, 0.276012/0.275941/0.295725/0.295655/0.255813/0.255752/0.315975/0.315968/0.235202/0.235254, 0.274889/0.274889/0.295241/0.295241/0.254359/0.254359/0.315115/0.315125/0.233447/0.233443, 1.20576/1.20576/1.30223/1.30223/1.11094/1.11094/1.40005/1.40005/1.01806/1.01806, 1.00204/1.00191/1.00082/1.00070/1.00286/1.00274/1.00136/1.00134/1.00375/1.00387, 8, 1.0, True, 1408.9170265197754, 7.928952, pardiso, 
0, True, 160, 161, 3, 2, 257600, 8.269195166963117, 3872.2235189218577, 30, 1.0000134904543323, 30/30/30/30/31/31/31/31/29/29/29/32, 1.000000/1.000000/1.000013/1.000013/1.000363/1.000363/1.000369/1.000369/1.002853/1.002853/1.002880/1.003895, -0.15756344789468243, -19.858718599653027, 11.226590277962996, -0.23529116602672046, -0.235291/-0.235291/-0.235293/-0.235293/-0.195705/-0.195705/-0.195702/-0.195702/-0.230587/-0.230587, -0.226247/-0.226247/-0.226252/-0.226252/-0.191717/-0.191717/-0.191714/-0.191714/-0.22581/-0.22581, -6.51221/-6.51221/-6.51532/-6.51532/-7.37257/-7.37257/-7.37174/-7.37174/-6.14079/-6.14079, 1.01979/1.01979/1.01978/1.01978/1.01035/1.01035/1.01035/1.01035/1.01052/1.01052, 12, 1.5380500543898015, True, 2022.1162405014038, 9.130096, pardiso, 
0, False, 200, 191, 3, 2, 382000, 6.615356133570671, 4527.9770933170175, 27, 1.000420294206208, 27/27/26/26/28/28/25/25/29/29/27/26, 1.000000/1.000000/1.000420/1.000420/1.000705/1.000705/1.001912/1.001912/1.002593/1.002593/1.003902/1.004346, 0.12939599024802573, 0.31586190004625797, 1.5623855458437548, 0.29101209329479394, 0.291012/0.290942/0.271427/0.271365/0.311049/0.310535/0.252682/0.252623/0.32943/0.329498, 0.290511/0.290511/0.270464/0.270464/0.31021/0.31021/0.250248/0.250248/0.329368/0.329368, 1.28964/1.28964/1.19416/1.19416/1.38648/1.38648/1.10032/1.10032/1.48437/1.48437, 1.00086/1.00074/1.00178/1.00166/1.00135/1.00052/1.00485/1.00474/1.00009/1.00020, 7, 1.0, True, 2205.13938331604, 11.711276, pardiso, 
0, True, 200, 191, 3, 2, 382000, 6.615356133570671, 3864.79008337106, 31, 1.0000063676512627, 31/31/31/31/30/30/30/30/32/32/32/29, 1.000000/1.000000/1.000006/1.000006/1.000448/1.000448/1.000462/1.000462/1.002636/1.002636/1.002639/1.004025, -0.16578374418145914, -21.20777652832729, 11.3103643991769, -0.2202770739479805, -0.220277/-0.220277/-0.220254/-0.220254/-0.244029/-0.244029/-0.244035/-0.244035/-0.218617/-0.219051, -0.215372/-0.215372/-0.21537/-0.21537/-0.238472/-0.238472/-0.238478/-0.238478/-0.213785/-0.213785, -11.5198/-11.5198/-11.519/-11.519/-6.87589/-6.87589/-6.87933/-6.87933/-7.72222/-7.72222, 1.01132/1.01132/1.01127/1.01127/1.01158/1.01158/1.01158/1.01158/1.01124/1.01224, 12, 1.5340654122940296, True, 3443.740112066269, 13.462772, pardiso, 
1, False, 80, 67, 4, 2, 53600, 23.352860719629497, 13439.16544888722, 0, 1.0007157488018954, 0/1/1/1/1/2/2/2/2/0/3/3, 1.000000/1.000716/1.000716/1.000718/1.000718/1.002859/1.002859/1.002863/1.002863/1.004831/1.006421/1.006424, -0.8760535643015843, -1.0889689880511808, 1.1149167124536137, 46.79938053441026, 46.7994/29.7404/29.4528/29.7268/29.6772/0.959587/0.960957/0.95231/0.953893/45.5621, 2.55912/1.65952/1.65952/1.65923/1.65923/0.0561465/0.0561465/0.0561541/0.0561541/2.54837, 122.093/189.346/189.346/186.973/186.973/7.57991/7.57991/7.8855/7.8855/121.358, 4.27636/4.23333/4.21281/4.23273/4.22920/4.13410/4.13705/4.11812/4.12154/4.22834, 12, 1.0, True, 232.78828239440918, 1.638368, pardiso, 
1, True, 80, 67, 4, 2, 53600, 23.352860719629497, 12958.28587947162, 22, 1.000000000000017, 22/22/22/22/23/23/23/23/21/21/21/24, 1.000000/1.000000/1.000000/1.000000/1.000309/1.000309/1.000309/1.000309/1.007436/1.007436/1.007436/1.007591, -0.2300824236721303, -0.5974375721963621, 1.6114043954437942, -0.27469745307115406, -0.274697/-0.274697/-0.275146/-0.275146/-0.262423/-0.262423/-0.26239/-0.26239/-0.319255/-0.319255, -0.261871/-0.261871/-0.261871/-0.261871/-0.249415/-0.249415/-0.249415/-0.249415/-0.305219/-0.305219, -13.6852/-13.6852/-13.6852/-13.6852/-18.3613/-18.3613/-18.3613/-18.3613/-25.8616/-25.8616, 1.02420/1.02420/1.02503/1.02503/1.02574/1.02574/1.02568/1.02568/1.02273/1.02273, 12, 5.133872244378612, True, 414.52870082855225, 1.979772, pardiso, 
