# case, NLprebuck, ny, nx, nxt, max_ny_nx_aspect_ratio, DOF, dx_max_mm, Pcr, n, mu1_ratio, modes_n, mu_ratios, b_min_t, b_min_energy, crest_e, koiter_num_modes, koiter_gap, b_factor, b_iiii, b_iiii_crest, b_iiii_rms, crest_w, num_distinct, lambda_b, converged, time_s, peak_mem_gb, solvers, error
0, False, 80, 91, 3, 2, 72800, 19.84606840071157, 4227.860800029407, 24, 1.0001590937247722, 24/24/24/24/25/25/25/25/23/23/23/26/26/24/24/25, 1.000000/1.000000/1.000159/1.000159/1.002125/1.002125/1.002210/1.002210/1.003153/1.003153/1.003450/1.009520/1.009567/1.000000/1.000159/1.002125, -0.07181569500959578, -8.053721439681015, 10.589820974342105, 10, 0.00029696609742966635, -0.0788902193496228, -0.0788902/-0.0767298/-0.0790158/-0.0768116/-0.151639/-0.151639/-0.151776/-0.151776/-0.050308/-0.0503081, -0.070587/-0.0705847/-0.0706582/-0.07067/-0.136288/-0.136288/-0.13637/-0.13637/-0.0466845/-0.0466845, -1.63174/-1.63174/-1.65651/-1.65651/-3.40711/-3.40711/-3.43191/-3.43191/-0.990604/-0.990604, 1.05718/1.04262/1.05749/1.04255/1.05482/1.05482/1.05498/1.05498/1.03808/1.03808, 8, 1.0, True, 366.89664459228516, 2.237288, pardiso, 
0, True, 80, 91, 3, 2, 72800, 19.84606840071157, 3983.99079601467, 26, 1.0001017615702252, 26/26/26/26/27/27/27/27/25/25/25/28/28/26/26/27, 1.000000/1.000000/1.000102/1.000102/1.000963/1.000963/1.001016/1.001016/1.003141/1.003141/1.003333/1.006193/1.006216/1.000000/1.000102/1.000963, -0.12522806816341142, -19.29675852949653, 12.413416883526756, 10, 0.00019104169735683648, -0.24302243796295106, -0.243022/-0.243022/-0.243154/-0.243154/-0.136506/-0.136506/-0.136524/-0.136524/-0.154901/-0.154901, -0.236107/-0.236107/-0.236238/-0.236238/-0.132946/-0.132946/-0.132962/-0.132962/-0.150107/-0.150107, -5.14577/-5.14577/-5.1663/-5.1663/-3.13928/-3.13928/-3.14534/-3.14534/-2.97962/-2.97962, 1.01454/1.01454/1.01453/1.01453/1.01330/1.01330/1.01330/1.01330/1.01584/1.01584, 8, 1.5814065938250021, True, 638.4402296543121, 2.624612, pardiso, 
0, False, 120, 121, 3, 2, 145200, 12.403792750444786, 4609.460503743326, 25, 1.0005749315211592, 25/25/24/24/26/26/23/23/27/27/25/26/24/25/24/26, 1.000000/1.000000/1.000575/1.000575/1.000685/1.000685/1.002337/1.002337/1.002711/1.002711/1.003486/1.004116/1.004123/1.000000/1.000575/1.000685, 0.12649358328651952, 0.2667342108495497, 1.4521287131150098, 10, 0.0007724217320824541, 0.27325515869917716, 0.273255/0.273176/0.250196/0.251015/0.29448/0.294404/0.224806/0.224866/0.316045/0.316126, 0.270911/0.270911/0.248317/0.248317/0.292977/0.292977/0.22467/0.22467/0.314615/0.314615, 1.12813/1.12813/1.03629/1.03629/1.22164/1.22164/0.946347/0.946347/1.31666/1.31666, 1.00432/1.00417/1.00378/1.00542/1.00256/1.00243/1.00030/1.00044/1.00227/1.00240, 8, 1.0, True, 854.8060073852539, 4.410128, pardiso, 
0, True, 120, 121, 3, 2, 145200, 12.403792750444786, 3896.902390990859, 30, 1.0000118396428674, 30/30/30/30/29/29/29/29/31/31/31/31/28/28/32/32, 1.000000/1.000000/1.000012/1.000012/1.000168/1.000168/1.000193/1.000193/1.003351/1.003351/1.003357/1.003357/1.003871/1.003921/1.010186/1.010188, -0.1441892285563425, -23.145333515092027, 12.669670270019274, 12, 0.000512577716028231, -0.3335057799511418, -0.333506/-0.333506/-0.333535/-0.333535/-0.195664/-0.195664/-0.195671/-0.195671/-0.189864/-0.189864/-0.18978/-0.18978, -0.196293/-0.196293/-0.196296/-0.196296/-0.194727/-0.194727/-0.194733/-0.194733/-0.188862/-0.188862/-0.188861/-0.188861, -5.71494/-5.71494/-5.71727/-5.71727/-5.35742/-5.35742/-5.36191/-5.36191/-11.0237/-11.0237/-11.024/-11.024, 1.30347/1.30347/1.30351/1.30351/1.00240/1.00240/1.00240/1.00240/1.00265/1.00265/1.00243/1.00243, 16, 1.5466263308237787, True, 1579.8884649276733, 5.34004, pardiso, 
0, False, 160, 161, 3, 2, 257600, 8.269195166963117, 4549.5270000681685, 26, 1.0001405700381902, 26/26/27/27/25/25/28/28/24/24/26/27/29/25/28/23, 1.000000/1.000000/1.000141/1.000141/1.000985/1.000985/1.001467/1.001467/1.003040/1.003040/1.003870/1.003988/1.004042/1.004879/1.005292/1.006112, 0.12336776150445171, 0.28889982180155277, 1.5302866681426648, 10, 0.000827999675036588, 0.2760118415962977, 0.276012/0.275941/0.295725/0.295655/0.255948/0.255885/0.316123/0.316202/0.235249/0.235307, 0.274887/0.274887/0.29524/0.29524/0.25436/0.25436/0.315208/0.315208/0.233511/0.233511, 1.21007/1.21007/1.30755/1.30755/1.11442/1.11442/1.40655/1.40655/1.02084/1.02084, 1.00204/1.00192/1.00082/1.00070/1.00312/1.00299/1.00145/1.00158/1.00371/1.00384, 11, 1.0, True, 1469.4447329044342, 7.90938, pardiso, 
0, True, 160, 161, 3, 2, 257600, 8.269195166963117, 3872.223518921812, 30, 1.0000134904543252, 30/30/30/30/31/31/31/31/29/29/29/32/32/28/28/33, 1.000000/1.000000/1.000013/1.000013/1.000363/1.000363/1.000369/1.000369/1.002853/1.002853/1.002880/1.003895/1.003898/1.008930/1.008986/1.010531, -0.15667533014107252, -19.858718610819146, 11.25836441073666, 10, 2.7257154509018396e-05, -0.23529116712684478, -0.235291/-0.235291/-0.235293/-0.235293/-0.195705/-0.195705/-0.195702/-0.195702/-0.230587/-0.230587, -0.226241/-0.226241/-0.226242/-0.226242/-0.191712/-0.191712/-0.191709/-0.191709/-0.225802/-0.225802, -6.54851/-6.54851/-6.55163/-6.55163/-7.42005/-7.42005/-7.41922/-7.41922/-6.17029/-6.17029, 1.01981/1.01981/1.01981/1.01981/1.01036/1.01036/1.01036/1.01036/1.01054/1.01054, 16, 1.5380500543898197, True, 1854.2354192733765, 9.144976, pardiso, 
0, False, 200, 191, 3, 2, 382000, 6.615356133570671, 4527.977093317028, 27, 1.000420294206205, 27/27/26/26/28/28/25/25/29/29/27/26/24/28/30/25, 1.000000/1.000000/1.000420/1.000420/1.000705/1.000705/1.001912/1.001912/1.002593/1.002593/1.003902/1.004346/1.004426/1.004584/1.005724/1.005861, 0.12935569674954991, 0.31586189289804717, 1.5626288459265256, 10, 0.001306003955119366, 0.2910120932955609, 0.291012/0.290942/0.271425/0.271363/0.311049/0.310535/0.252682/0.252623/0.329422/0.329487, 0.290505/0.290504/0.27046/0.27046/0.310205/0.310205/0.250255/0.250255/0.329364/0.329365, 1.29176/1.29176/1.19587/1.19587/1.38909/1.38909/1.10169/1.10169/1.48756/1.48756, 1.00087/1.00075/1.00178/1.00167/1.00136/1.00053/1.00484/1.00472/1.00009/1.00019, 11, 1.0, True, 2182.977926015854, 11.735504, pardiso, 
0, True, 200, 191, 3, 2, 382000, 6.615356133570671, 3864.790083371287, 31, 1.0000063676512694, 31/31/31/31/30/30/30/30/32/32/32/32/29/29/33/33, 1.000000/1.000000/1.000006/1.000006/1.000448/1.000448/1.000462/1.000462/1.002636/1.002636/1.002639/1.002639/1.004025/1.004053/1.008287/1.008288, -0.1736586117814403, -26.231701609669255, 12.290373164111175, 12, 0.0013825568895466484, -0.22027707366219781, -0.220277/-0.220277/-0.220254/-0.220254/-0.244029/-0.244029/-0.244035/-0.244035/-0.218617/-0.219051/-0.219185/-0.218582, -0.215369/-0.215369/-0.215367/-0.215367/-0.238469/-0.238469/-0.238473/-0.238473/-0.213787/-0.213821/-0.213791/-0.213805, -11.5497/-11.5497/-11.5489/-11.5489/-6.8914/-6.8914/-6.89484/-6.89484/-7.74518/-7.74518/-7.74431/-7.74431, 1.01133/1.01133/1.01128/1.01128/1.01159/1.01159/1.01159/1.01159/1.01123/1.01216/1.01254/1.01111, 16, 1.5340654122940514, True, 4187.201264858246, 14.138608, pardiso, 
1, False, 80, 67, 4, 2, 53600, 23.352860719629497, 13439.165448887214, 0, 1.0007157488018978, 0/1/1/1/1/2/2/2/2/0/3/3/4/1/1/2, 1.000000/1.000716/1.000716/1.000718/1.000718/1.002859/1.002859/1.002863/1.002863/1.004831/1.006421/1.006424/1.011385/1.000716/1.000718/1.002859, -3.604386134562847, -4.697636961766367, 1.1416265763388413, 9, 0.001962375094660737, -303.23109336156904, -303.231/-135.828/-135.833/-134.85/-133.89/-156.611/-156.575/-155.406/-156.08, -16.5711/-7.56472/-7.56472/-7.56491/-7.56491/-9.17146/-9.17146/-9.17329/-9.17329, -791.085/-707.54/-707.54/-717.377/-717.377/-808.284/-808.284/-852.001/-852.001, 4.27770/4.23739/4.23747/4.22206/4.20700/4.13230/4.13182/4.11595/4.12488, 9, 1.0, True, 208.98435068130493, 1.601252, pardiso, 
1, True, 80, 67, 4, 2, 53600, 23.352860719629497, 12958.285879471629, 22, 1.0000000000000007, 22/22/22/22/23/23/23/23/21/21/21/21/24/24/25/22, 1.000000/1.000000/1.000000/1.000000/1.000309/1.000309/1.000309/1.000309/1.007436/1.007436/1.007436/1.007436/1.007591/1.007591/1.021183/1.000000, -0.21628834225021096, -0.6003374745205295, 1.666023683893182, 12, 0.00015428370662995451, -0.2737104939431538, -0.27371/-0.27371/-0.273141/-0.273141/-0.255789/-0.255789/-0.255942/-0.255942/-0.321283/-0.321283/-0.320957/-0.320958, -0.260174/-0.260174/-0.260182/-0.260182/-0.242708/-0.242708/-0.242708/-0.242708/-0.306741/-0.306741/-0.306737/-0.306737, -14.1182/-14.1182/-14.1182/-14.1182/-15.1879/-15.1879/-15.1879/-15.1879/-13.4295/-13.4295/-13.4295/-13.4295, 1.02568/1.02568/1.02460/1.02460/1.02659/1.02659/1.02690/1.02690/1.02343/1.02343/1.02292/1.02292, 9, 5.133872244378608, True, 618.8294842243195, 2.100748, pardiso, 
1, False, 120, 127, 7, 3, 152400, 11.676430359814805, 12475.193146751688, 0, 1.0007635076761934, 0/1/1/1/1/0/2/2/2/2/3/3/4/4/5/5, 1.000000/1.000764/1.000764/1.000764/1.000764/1.002181/1.003053/1.003053/1.003053/1.003053/1.006866/1.006869/1.012199/1.012216/1.019057/1.019095, 0.037220884208741256, 0.008310313984079361, 0.4725147537883317, 10, 0.003800623053286368, 0.040569713447814786, 0.0405697/0.0301123/0.0301087/0.0301151/0.0301151/0.0414721/0.0269014/0.0269013/0.0268726/0.0268743, 0.0372209/0.0276264/0.0276264/0.0276259/0.0276259/0.0380832/0.0246462/0.0246462/0.0246469/0.0246469, 1.78241/2.66801/2.66801/2.65317/2.65317/1.8204/2.48743/2.48743/2.54277/2.54277, 1.04402/1.04402/1.04396/1.04408/1.04408/1.04355/1.04475/1.04475/1.04418/1.04421, 16, 1.0, True, 726.514246225357, 4.626528, pardiso, 
1, True, 120, 127, 7, 3, 152400, 11.676430359814805, 8985.776469034061, 24, 1.0000000000000038, 24/24/24/24/23/23/23/23/25/25/25/25/22/22/26/26, 1.000000/1.000000/1.000000/1.000000/1.001418/1.001418/1.001418/1.001418/1.002854/1.002854/1.002854/1.002854/1.007251/1.007251/1.009716/1.009716, -0.1766201776140519, -0.5955793896864747, 1.8363255276574733, 12, 0.004385197290509552, -0.2750380952555904, -0.275038/-0.264809/-0.279384/-0.263402/-0.289784/-0.289784/-0.289748/-0.289748/-0.250497/-0.250497/-0.251278/-0.251278, -0.234966/-0.234966/-0.234974/-0.234974/-0.258974/-0.258974/-0.258974/-0.258974/-0.22243/-0.22243/-0.222434/-0.222434, -23.5101/-23.5101/-23.5101/-23.5101/-25.9269/-25.9269/-25.9269/-25.9269/-23.7525/-23.7525/-23.7525/-23.7525, 1.08192/1.06161/1.09041/1.05877/1.05782/1.05782/1.05775/1.05775/1.06122/1.06122/1.06286/1.06286, 11, 3.5660103440464304, True, 1727.2450671195984, 5.60176, pardiso, 
1, False, 160, 127, 7, 2, 203200, 11.676430359814805, 12475.193146751257, 0, 1.0007668717029448, 0/1/1/1/1/0/2/2/2/2/3/3/4/4/5/5, 1.000000/1.000767/1.000767/1.000768/1.000768/1.002181/1.003067/1.003067/1.003067/1.003067/1.006899/1.006902/1.012264/1.012280/1.019168/1.019206, 0.03722088419890493, 0.008310313984413424, 0.4725147538602644, 10, 0.0038200476568046498, 0.040569713448553535, 0.0405697/0.0298424/0.0298424/0.0298339/0.0298387/0.0414721/0.0259305/0.0259301/0.0259203/0.0259219, 0.0372209/0.0273748/0.0273748/0.0273751/0.0273751/0.0380832/0.0237564/0.0237564/0.0237566/0.0237566, 1.78241/2.65096/2.65096/2.66578/2.66578/1.8204/3.87652/3.87652/3.93309/3.93309, 1.04402/1.04410/1.04410/1.04395/1.04403/1.04355/1.04476/1.04475/1.04455/1.04458, 16, 1.0, True, 887.6559135913849, 6.169424, pardiso, 
1, True, 160, 127, 7, 2, 203200, 11.676430359814805, 8961.548462875293, 24, 1.0000000000000087, 24/24/24/24/25/25/25/25/23/23/23/23/26/26/22/22, 1.000000/1.000000/1.000000/1.000000/1.002006/1.002006/1.002006/1.002006/1.002242/1.002242/1.002242/1.002242/1.008001/1.008001/1.008857/1.008857, -0.18858777284357792, -0.6314550841278527, 1.8298456852843639, 12, 0.005745391094693885, -0.2922938366623365, -0.292294/-0.292294/-0.291998/-0.291998/-0.238581/-0.238581/-0.23718/-0.23718/-0.312221/-0.312221/-0.312279/-0.312279, -0.260751/-0.260751/-0.260749/-0.260749/-0.212169/-0.212169/-0.212169/-0.212169/-0.278887/-0.278887/-0.278887/-0.278887, -27.0534/-27.0534/-27.0534/-27.0534/-19.5445/-19.5445/-19.5445/-19.5445/-28.165/-28.165/-28.165/-28.165, 1.05876/1.05876/1.05823/1.05823/1.06042/1.06042/1.05730/1.05730/1.05808/1.05808/1.05817/1.05817, 11, 3.5575865982842334, True, 1998.0709738731384, 7.49014, pardiso, 
1, False, 200, 127, 7, 2, 254000, 11.676430359814805, 12475.193146750473, 0, 1.0007687224392818, 0/1/1/1/1/0/2/2/2/2/3/3/4/4/5/5, 1.000000/1.000769/1.000769/1.000770/1.000770/1.002181/1.003075/1.003075/1.003075/1.003075/1.006917/1.006920/1.012297/1.012313/1.019223/1.019261, 0.037220884190329685, 0.008310313985428806, 0.472514753943562, 10, 0.0038301119295900588, 0.04056971345437184, 0.0405697/0.0300951/0.0300951/0.0300949/0.0300922/0.0414721/0.0243088/0.0243085/0.0243068/0.0243082, 0.0372209/0.0276073/0.0276073/0.0276076/0.0276076/0.0380832/0.0222905/0.0222905/0.0222907/0.0222907, 1.78241/2.64909/2.64909/2.6639/2.6639/1.8204/3.20986/3.20986/3.26957/3.26957, 1.04402/1.04409/1.04409/1.04408/1.04403/1.04355/1.04429/1.04429/1.04424/1.04427, 16, 1.0, True, 1127.936113357544, 7.721396, pardiso, 
1, True, 200, 127, 7, 2, 254000, 11.676430359814805, 8954.20014212092, 24, 1.0000000000000016, 24/24/24/24/25/25/25/25/23/23/23/23/26/26/22/22, 1.000000/1.000000/1.000000/1.000000/1.001813/1.001813/1.001813/1.001813/1.002439/1.002439/1.002439/1.002439/1.007621/1.007621/1.009247/1.009247, -0.19149530860202707, -0.6407998753191201, 1.829288229401861, 12, 0.005169339510369948, -0.25829517986803796, -0.258295/-0.257834/-0.257764/-0.258627/-0.270247/-0.270247/-0.269817/-0.269817/-0.306945/-0.306945/-0.306955/-0.306955, -0.230566/-0.230566/-0.230566/-0.230566/-0.236301/-0.236301/-0.2363/-0.2363/-0.274007/-0.274007/-0.274006/-0.274006, -20.0519/-20.0519/-20.0519/-20.0519/-24.3368/-24.3368/-24.3368/-24.3368/-26.7244/-26.7244/-26.7244/-26.7244, 1.05843/1.05748/1.05734/1.05911/1.06942/1.06942/1.06857/1.06857/1.05840/1.05840/1.05842/1.05842, 11, 3.554995787029217, True, 2304.4089121818542, 9.389712, pardiso, 
6, False, 80, 41, 6, 2, 32800, 30.00000000000003, 4921.055047756452, 25, 1.0000000018825235, 25/25/25/25/24/24/24/24/26/26/26/26/23/23/25/25, 1.000000/1.000000/1.000000/1.000000/1.002293/1.002293/1.002293/1.002293/1.003305/1.003305/1.003305/1.003305/1.010387/1.010387/1.000000/1.000000, -2.6231373060313024, -120.15007316346751, 6.76786220509612, 12, 0.00705822793920234, -2.081178197800682, -2.08118/-2.08118/-2.08435/-2.08435/-1.031/-0.955555/-0.956064/-1.02713/-6.15924/-6.15924/-6.16695/-6.16695, -1.8816/-1.8816/-1.8816/-1.8816/-0.862178/-0.862178/-0.862169/-0.862169/-5.56763/-5.56763/-5.56762/-5.56762, -65.6425/-65.6425/-65.6425/-65.6425/-29.6164/-29.6164/-29.6164/-29.6164/-197.724/-197.724/-197.724/-197.724, 1.05170/1.05170/1.05250/1.05250/1.09353/1.05276/1.05305/1.09148/1.05179/1.05179/1.05245/1.05245, 8, 1.0, True, 189.22912645339966, 1.080268, pardiso, 
6, True, 80, 41, 6, 2, 32800, 30.00000000000003, 5172.305512681011, 27, 1.0004539850955165, 27/27/28/28/27/27/28/28/28/28/27/26/29/27/28/27, 1.000000/1.000000/1.000454/1.000454/1.000773/1.000773/1.000897/1.000897/1.001319/1.001319/1.001526/1.004942/1.006083/1.000000/1.000454/1.000773, -0.4211800353634929, -29.054067031146474, 8.305572598445597, 10, 0.00020582054622822593, -0.5362062911846479, -0.536206/-0.536201/-0.448511/-0.448507/-0.721237/-0.721237/-0.612862/-0.612862/-0.455831/-0.455826, -0.536206/-0.536206/-0.448511/-0.448511/-0.720796/-0.720796/-0.602955/-0.602955/-0.455831/-0.455831, -15.6241/-15.6241/-13.7762/-13.7762/-20.7938/-20.7938/-18.1366/-18.1366/-13.4213/-13.4213, 1.00000/1.00000/1.00000/1.00000/1.00031/1.00031/1.00818/1.00818/1.00000/1.00000, 8, 2.0523475528536133, True, 283.1174912452698, 1.23382, pardiso, 
