# case, NLprebuck, ny, nx, nxt, max_ny_nx_aspect_ratio, DOF, dx_max_mm, Pcr, n, mu1_ratio, modes_n, b_factor, lambda_b, converged, time_s, peak_mem_gb, solvers, error
0, False, 80, 91, 3, 2, 72800, 19.84606840071157, 4227.860800029435, 24, 1.0001590937247702, 24/24/25/25, -0.07889021913942879, 1.0, True, 361.3232333660126, 1.963536, pardiso, 
0, True, 80, 91, 3, 2, 72800, 19.84606840071157, 3983.990796014718, 26, 1.000101761570228, 26/26/27/27, -0.24302240489957797, 1.5814065938250095, True, 586.6071534156799, 2.323332, pardiso, 
0, False, 120, 121, 3, 2, 145200, 12.403792750444786, 4609.460503743346, 25, 1.0005749315211558, 25/24/26/23, 0.2732551586434399, 1.0, True, 761.0105857849121, 3.801076, pardiso, 
0, True, 120, 121, 3, 2, 145200, 12.403792750444786, 3896.902390989938, 30, 1.0000118396428979, 30/30/29/29, -0.3335041750368942, 1.5466263308242592, True, 1105.706122636795, 4.629288, pardiso, 
0, False, 160, 161, 3, 2, 257600, 8.269195166963117, 4549.527000068241, 26, 1.0001405700382073, 26/27/25/28, 0.2760112409334354, 1.0, True, 1235.8655514717102, 6.8574, pardiso, 
0, True, 160, 161, 3, 2, 257600, 8.269195166963117, 3872.2235189222793, 30, 1.0000134904536777, 30/30/31/31, -0.23528607643719168, 1.5380500543910427, True, 1845.9464824199677, 8.012592, pardiso, 
0, False, 200, 191, 3, 2, 382000, 6.615356133570671, 4527.977093317026, 27, 1.0004202942267264, 27/26/28/25, 0.29101209083632046, 1.0, True, 1831.813930273056, 10.115276, pardiso, 
0, True, 200, 191, 3, 2, 382000, 6.615356133570671, 3864.7900833650565, 31, 1.0000063676512596, 31/31/30/30, -0.22027711907734512, 1.534065412296787, True, 3665.7742233276367, 11.9663, pardiso, 
1, False, 80, 67, 4, 2, 53600, 23.352860719629497, 13439.165448887203, 0, 1.0007157488018976, 0/1/1/2, -303.2310933610039, 1.0, True, 263.88229727745056, 1.41198, pardiso, 
1, True, 80, 67, 4, 2, 53600, 23.352860719629497, 12958.285879471723, 22, 1.0003086079357455, 22/23/21/24, -0.2643133641865353, 5.133872244378633, True, 392.32913851737976, 1.743852, pardiso, 
1, False, 120, 127, 7, 3, 152400, 11.676430359814805, 12475.193146751697, 0, 1.0007635076800592, 0/1/1/0, 1.337886672506998e-05, 1.0, True, 748.7715177536011, 3.973736, pardiso, 
1, True, 120, 127, 7, 3, 152400, 11.676430359814805, 8985.77646903404, 24, 1.0014178453536757, 24/23/25/22, -0.22999521773895115, 3.5660103440464472, True, 1133.3989531993866, 4.549916, pardiso, 
1, False, 160, 127, 7, 2, 203200, 11.676430359814805, 12475.193146751244, 0, 1.0007668717063023, 0/1/1/0, 1.3275260625492942e-05, 1.0, True, 952.7739360332489, 5.174804, pardiso, 
1, True, 160, 127, 7, 2, 203200, 11.676430359814805, 8961.548462875351, 24, 1.0020057455176004, 24/25/23/26, -0.2634924189898735, 3.557586598284233, True, 1610.4119703769684, 5.998736, pardiso, 
1, False, 200, 127, 7, 2, 254000, 11.676430359814805, 12475.193146750486, 0, 1.0007687224451247, 0/1/1/0, 1.3275259027968504e-05, 1.0, True, 1150.2011051177979, 6.44956, pardiso, 
1, True, 200, 127, 7, 2, 254000, 11.676430359814805, 8954.20014212091, 24, 1.0018128735341858, 24/25/23/26, -0.2810117677318991, 3.554995787029241, True, 1824.4493916034698, 7.510272, pardiso, 
6, False, 80, 41, 6, 2, 32800, 30.00000000000003, 4921.05504775658, 25, 1.0000000018825015, 25/25/24/24, -1.9158425959934404, 1.0, True, 178.06019282341003, 0.863628, pardiso, 
6, True, 80, 41, 6, 2, 32800, 30.00000000000003, 5172.305512681007, 27, 1.0004539850955154, 27/28/27/28, -0.5362062910204345, 2.0523475528536155, True, 275.5383048057556, 1.131252, pardiso, 
6, False, 120, 65, 9, 2, 78000, 18.750000000000043, 5449.1295215563, 24, 1.0000558522031602, 24/24/23/24, 0.016502170111098006, 1.0, True, 550.3492558002472, 2.108684, pardiso, 
6, True, 120, 65, 9, 2, 78000, 18.750000000000043, 4559.393857200502, 29, 1.000571362515133, 29/30/28/31, -0.24432968154076112, 1.8082555004657894, True, 760.4439992904663, 2.530712, pardiso, 
6, False, 160, 81, 11, 2, 129600, 15.000000000000124, 5292.509676371559, 25, 1.0000426669066285, 25/25/25/26, 0.0197968806701817, 1.0, True, 895.2048454284668, 3.44608, pardiso, 
6, True, 160, 81, 11, 2, 129600, 15.000000000000124, 4558.021753122193, 30, 1.0000000000147347, 30/30/29/29, -0.2750400024711617, 1.8046571704840586, True, 1754.5358045101166, 3.896504, pardiso, 
6, False, 200, 97, 13, 2, 194000, 12.500000000000178, 5236.771231016566, 26, 1.0000326467139662, 26/26/25/26, 0.015676574076275856, 1.0, True, 1498.5125081539154, 5.119272, pardiso, 
6, True, 200, 97, 13, 2, 194000, 12.500000000000178, 4534.669735924273, 30, 1.0000000000163016, 30/30/31/31, -0.3300777106477198, 1.796539322860583, True, 3261.2108874320984, 5.702872, pardiso, 
